term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post48,-0.03714419867322194,0.027724222333631202,-1.3397742315810144,0.1803338728184624,4271,20139,3063,lebth,losat,-0.001608680570983477,-0.0726797167754604
pre24,0.004585708783826135,0.02117621337637209,0.2165499894774747,0.8285609345364546,7505,23608,3481,leprg,losat,0.031726507457121064,-0.02255508988946879
pre12,-0.02924131899939402,0.02064311577176521,-1.4165167372354261,0.15663746176601287,8197,23608,3481,leprg,losat,-0.0027839692113037946,-0.05569866878748425
post03,0.03441848042016141,0.030416532188538917,1.1315714824693408,0.2578261290686065,1628,23608,3481,leprg,losat,0.07341466820748192,-0.004577707367159109
post06,0.03986791222654841,0.0288894476139287,1.3800164253513305,0.167594655867544,1899,23608,3481,leprg,losat,0.07690411948535011,0.0028317049677467135
post09,0.03691339553207297,0.027706236390310404,1.3323135994386648,0.18277002029508732,2011,23608,3481,leprg,losat,0.07243203956074963,0.0013947515033963104
post12,0.016658111512693242,0.029057201447150776,0.5732868508686567,0.566455947557613,2827,23608,3481,leprg,losat,0.05390512026038466,-0.020588897234998172
post24,-0.022386506524448225,0.022421228539351037,-0.9984513776824552,0.31807076422198505,8144,23608,3481,leprg,losat,0.00634978522153018,-0.05112279827042663
post36,-0.03865796063069534,0.023399724011928687,-1.652069084703235,0.09853376712068382,7293,23608,3481,leprg,losat,-0.008667290783426252,-0.06864863047796443
post48,-0.026527038151373708,0.024370586968912974,-1.0884858122297791,0.27639180812254693,6465,23608,3481,leprg,losat,0.004708317860624096,-0.05776239416337151
pre24,0.05407324381467335,0.026207759514352516,2.0632532050311463,0.039107598756555985,2887,13538,2408,lemar,losat,0.08766752868070452,0.020478958948642184
pre12,0.11605315163709744,0.02682249753153408,4.326709378970345,1.5243855611400679e-5,3028,13538,2408,lemar,losat,0.15043506866958634,0.08167123460460853
post03,0.2131806243693697,0.051928585874505544,4.105265352007808,4.06220640207318e-5,508,13538,2408,lemar,losat,0.2798166102868468,0.14654463845189258
post06,0.13882250094961,0.04692045939780039,2.9586773601819836,0.0030949687555202406,533,13538,2408,lemar,losat,0.1990282495595989,0.07861675233962107
post09,0.0921811019548273,0.048243959091683455,1.9107283832084576,0.05606059567094147,569,13538,2408,lemar,losat,0.1540802146811818,0.0302819892284728
